longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote,__source_file,all_plinks,source_canonical
Computers & Applied Sciences Complete,iih,143513878,FINDING PEOPLE WITH EMOTIONAL DISTRESS IN ONLINE SOCIAL MEDIA: A DESIGN COMBINING MACHINE LEARNING AND RULE-BASED CLASSIFICATION.,"Many people face problems of emotional distress. Early detection of high-risk individuals is the key to prevent suicidal behavior. There is increasing evidence that the Internet and social media provide clues of people’s emotional distress. In particular, some people leave messages showing emotional distress or even suicide notes on the Internet. Identifying emotionally distressed people and examining their posts on the Internet are important steps for health and social work professionals to provide assistance, but the process is very timeconsuming and ineffective if conducted manually using standard search engines. Following the design science approach, we present the design of a system called KAREN, which identifies individuals who blog about their emotional distress in the Chinese language, using a combination of machine learning classification and rulebased classification with rules obtained from experts. A controlled experiment and a user study were conducted to evaluate system performance in searching and analyzing blogs written by people who might be emotionally distressed. The results show that the proposed system achieved better classification performance than the benchmark methods and that professionals perceived the system to be more useful and effective for identifying bloggers with emotional distress than benchmark approaches",20200601,"Michael Chau ; Li, Tim M. H. ; Wong, Paul W. C. ; Xu, Jennifer J. ; Yip, Paul S. F. ; Hsinchun Chen",Article,Academic Journal,Jun2020,True,MIS Quarterly,Liability for emotional distress ; Psychological stress ; Social media ; Online social networks ; Early diagnosis ; At-risk people ; Suicidal behavior ; Classification,JOUR,,,0276-7783,,,,,eng,MIS Quarterly,955,933,23.0,44.0,2,10.25300/MISQ/2020/14110,,MIS,,https://research.ebsco.com/plink/3e46d60f-f317-3732-91d2-cc2ac9c8d0f8,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/3e46d60f-f317-3732-91d2-cc2ac9c8d0f8|https://research.ebsco.com/plink/bd7e5838-5670-3586-b509-72433f4a14de|https://research.ebsco.com/plink/93b01139-298f-3e4c-b012-c1ba8a556f90|https://research.ebsco.com/plink/1acdd4ec-4acd-31e4-a828-c9acafe8f2b7,MIS Quarterly
Computers & Applied Sciences Complete,iih,52546031,DETECTING FAKE WEBSITES: THE CONTRIBUTION OF STATISTICAL LEARNING THEORY.,"Fake websites have become increasingly pervasive, generating billions of dollars in fraudulent revenue at the expense of unsuspecting Internet users. The design and appearance of these websites makes it difficult for users to manually identify them as fake. Automated detection systems have emerged as a mechanism for combating fake websites, however most are fairly simplistic in terms of their fraud cues and detection methods employed. Consequently, existing systems are susceptible to the myriad of obfuscation tactics used by fraudsters, resulting in highly ineffective fake website detection performance. In light of these deficiencies, we propose the development of a new class of fake website detection systems that are based on statistical learning theory (SLT). Using a design science approach, a prototype system was developed to demonstrate the potential utility of this class of systems. We conducted a series of experiments, comparing the proposed system against several existing fake website detection systems on a test bed encompassing 900 websites. The results indicate that systems grounded in SLT can more accurately detect various categories of fake websites by utilizing richer sets of fraud cues in combination with problem-specific knowledge. Given the hefty cost exacted by fake websites, the results have important implications for e-commerce and online security.",20100901,"Abbasi, Ahmed ; Zhang, Zhu ; Zimbra, David ; Chen, Hsinchun ; Nunamaker, Jr., Jay F.",Article,Academic Journal,Sep2010,True,MIS Quarterly,Internet fraud ; Website research ; Computer security ; Phishing prevention ; Uniform Resource Locators ; Computer crime prevention,JOUR,,,0276-7783,,,,,eng,MIS Quarterly,461,435,27.0,34.0,3,10.2307/25750686,,MIS,,https://research.ebsco.com/plink/bd1c8d02-5056-37ae-b0f5-3049797db9f1,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/bd1c8d02-5056-37ae-b0f5-3049797db9f1|https://research.ebsco.com/plink/f78bcd77-4aeb-39a5-8d53-362983953c96|https://research.ebsco.com/plink/ca090f65-7d93-34e9-9aeb-159879530f44,MIS Quarterly
Computers & Applied Sciences Complete,iih,187582342,"AUTOMATING IN HIGH-EXPERTISE, LOW-LABEL ENVIRONMENTS: EVIDENCE-BASED MEDICINE BY EXPERTAUGMENTED FEW-SHOT LEARNING.","Many real-world process automation environments are rife with high-expertise and limited labeled data. We propose a computational design science artifact to automate systematic review (SR) in such an environment. SR is a manual process that collects and synthesizes data from medical literature to inform medical decisions and improve clinical practice. Existing machine learning solutions for SR automation suffer from a lack of labeled data and a misrepresentation of the high-expertise manual process. Motivated by humans' impressive capability to learn from limited examples, we propose a principled and generalizable few-shot learning framework—FastSR—to automate the multistep, expertise-intensive SR process using minimal training data. Informed by SR experts' annotation logic, FastSR extends the traditional few-shot learning framework by including (1) various representations to account for diverse SR knowledge, (2) attention mechanisms to reflect semantic correspondence of medical text fragments, and (3) shared representations to jointly learn interrelated tasks (i.e., sentence classification and sequence tagging). We instantiated and evaluated FastSR on three test beds: full-text articles from Wilson disease (WD) and COVID-19, as well as a public dataset (EBM-NLP) containing clinical trial abstracts on a wide range of diseases. Our experiments demonstrate that FastSR significantly outperforms several benchmarking solutions and expedites the SR project by up to 65%. We critically examine the SR outcomes and practical advantages of FastSR compared to other ML and manual SR solutions and propose a new FastSR-augmented protocol. Overall, our multifaceted evaluation quantitatively and qualitatively underscores the efficacy and applicability of FastSR in expediting SR. Our results have important implications for designing computational artifacts for automating/augmenting processes in highexpertise, low-label environments.",20250901,"Rong Liu ; Jingjing Li ; Zivkovic, Marko ; Abbasi, Ahmed",Article,Academic Journal,Sep2025,True,MIS Quarterly,Evidence-based medicine ; Meta-analysis ; Deep learning ; Natural language processing ; Data extraction ; Medical literature,JOUR,,,0276-7783,,,,,eng,MIS Quarterly,1093,1049,45.0,49.0,3,10.25300/MISQ/2024/18573,,MIS,,https://research.ebsco.com/plink/0cc54d3c-7d11-38be-9794-d401e41a621d,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/0cc54d3c-7d11-38be-9794-d401e41a621d|https://research.ebsco.com/plink/6b4123fb-2702-31e0-bafe-17c246493451|https://research.ebsco.com/plink/87bd6973-c438-3413-bcb2-c6d20820e3aa|https://research.ebsco.com/plink/ae51bfd2-9f3b-36b7-84e2-a4c14fc0510c|https://research.ebsco.com/plink/b1ab3d22-131d-3313-a6a0-fcf1f0048559|https://research.ebsco.com/plink/25fe7a8e-d0ab-3ba4-8fea-36fbd118afa4,MIS Quarterly
Business Source Complete,bth,192809266,When Vulnerability Drives Action: Designing Forward-Looking Frameworks for Disaster Preparedness.,"The increasing frequency and severity of disasters underscore the limits of commonly used vulnerability indices (the Social Vulnerability Index (SoVI), the Centers for Disease Control and Prevention’s (CDC’s) Social Vulnerability Index (SVI), the Area Deprivation Index (ADI), and the Federal Emergency Management Agency’s (FEMA’s) National Risk Index (NRI)) that rely on static demographic proxies. As disaster impacts differ according to community composition, these limitations risk embedding structural bias and obscuring how specific hazards translate into distinct community needs. For example, some populations require medical support when power outages disrupt treatment, whereas others face heightened risks of housing loss or food insecurity. Anticipatory frameworks must therefore capture hazard-specific vulnerabilities and predict resource needs directly. We develop the Local Impact Vulnerability Assessment (LIVA), a computational design science framework that predicts disaster- and need-specific vulnerability rather than producing generic scores. LIVA integrates demographic, housing, socioeconomic, and health indicators with hazard exposure and FEMA-recorded outcomes, using Random Forest and XGBoost models validated via nested cross-validation, out-of-sample tests, and out-of-time evaluation on federally declared disasters from 2018–2025. In out-of-time and holdout evaluations, LIVA attains substantially higher correlations with observed FEMA needs across hazards and community need categories than existing indices. We further illustrate these results by applying LIVA to the 2024 Hurricane Beryl. Feature attribution and ablation analyses highlight the role of health and preventive care access alongside structural indicators. By linking hazards to resource need-specific outcomes, LIVA provides interpretable, actionable guidance for equitable allocation of scarce resources in preparedness and response.<bold>History:</bold> Ahmed Abbasi, Senior Editor; Heng Xu, Associate Editor.<bold>Supplemental Material:</bold> The online appendix is available at https://doi.org/10.1287/isre.2024.1683.",20260408,"Roderick, Thomas ; Tremblay, Monica Chiarini ; Kohli, Rajiv ; Castellanos, Arturo ; Pengetnze, Yolande",Article,Academic Journal,Apr2026,True,Information Systems Research (INFORMS),,JOUR,,,1047-7047,,,,,eng,INFORMS: Institute for Operations Research & the Management Sciences,,1,,,,10.1287/isre.2024.1683,,1LD,,https://research.ebsco.com/plink/d3fbe09c-4dc0-321c-b5da-d45de8daa78b,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/d3fbe09c-4dc0-321c-b5da-d45de8daa78b|https://research.ebsco.com/plink/9470619e-50f6-3f88-99fd-018edecaabd7,Information Systems Research
Business Source Complete,bth,191998193,"Are You, You? Seamlessly Fighting Identity Fraud with Keystroke Dynamics.","Identity fraud—the deliberate use of synthetic or stolen identity details for gain—affects an increasing variety of digital platforms. With traditional methods of identity verification compromised because of high-profile data breaches, platforms are turning to sparse alternative data sources and overt verification technologies, often to the detriment of the user experience. Drawing from established deception and motor learning theories, we follow the design science method to design, build, and iteratively refine a novel approach to identity verification for new platform users using keystroke dynamics. The system (1) evaluates identity fraud risk for all first-time users, and (2) minimizes the impact on the new user experience by seamlessly analyzing keystrokes from a platform’s existing onboarding form. We evaluated and improved the design in four experiments, culminating in an identity fraud detection tool that effectively detects identity fraud for unknown users and supports seamless user experiences. The system and our lessons from the design and evaluation process have important implications for both research and practice.<bold>History:</bold> Jason Thatcher, Senior Editor; Heng Xu, Associate Editor.",20260304,"Kim, David ; Valacich, Joseph S. ; Jenkins, Jeffrey L. ; Wilson, David W. ; Kumar, Manasvi ; Weisgarber, Paul",Article,Academic Journal,Mar2026,True,Information Systems Research (INFORMS),,JOUR,,,1047-7047,,,,,eng,INFORMS: Institute for Operations Research & the Management Sciences,,1,,,,10.1287/isre.2023.0088,,1LD,,https://research.ebsco.com/plink/7f97cc2e-13bf-34d1-9bb2-705343b931d1,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/7f97cc2e-13bf-34d1-9bb2-705343b931d1|https://research.ebsco.com/plink/79c745fd-f1c0-3cea-8fe5-53aa2e893f91,Information Systems Research
Computers & Applied Sciences Complete,iih,158877565,PEER-TO-PEER LOAN FRAUD DETECTION: CONSTRUCTING FEATURES FROM TRANSACTION DATA.,"Although financial fraud detection research has made impressive progress because of advanced machine learning algorithms, constructing features (or attributes) that can effectively signal fraudulent behaviors remains a challenge. In recent years, a new type of fraud has emerged on peer-to-peer (P2P) lending platforms, where individuals can borrow money from others without a financial intermediary. In these markets, the information asymmetry problem is seriously elevated. Inspired by the fraud triangle theory and its extensions, and using the design science research methodology, we construct five categories of behavioral features directly from P2P lending transaction data, in addition to the baseline features regarding borrowers and loan requests. These behavioral features are intended to capture the fraud capability, integrity, and opportunity of fraudsters based on their loan requests and payment histories, connected peers, bidding process characteristics, and activity sequences. Using datasets from real users on two large P2P lending platforms in China, our evaluation results show that combining these additional features with the baseline features significantly enhances detection performance. This design science research contributes novel knowledge to the financial fraud detection literature and practice.",20220901,"Xu, Jennifer J. ; Dongyu Chen ; Chau, Michael ; Liting Li ; Haichao Zheng",Article,Academic Journal,Sep2022,True,MIS Quarterly,China ; Peer-to-peer lending ; Fraud investigation ; Machine learning ; Algorithms ; Fraud triangle model (Criminology) ; Fraud,JOUR,,,0276-7783,,,,,eng,MIS Quarterly,1791,1777,15.0,46.0,3,10.25300/MISQ/2022/16103,,MIS,,https://research.ebsco.com/plink/91e806f8-fc0f-3ff3-bd22-331670338d6f,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/91e806f8-fc0f-3ff3-bd22-331670338d6f|https://research.ebsco.com/plink/54ffc08a-05a6-3302-810a-a15157ba4359|https://research.ebsco.com/plink/6c0d971c-42a2-31d6-a751-b1556024c797|https://research.ebsco.com/plink/fd7a3fdb-0000-30db-99f4-9adfee2facc1|https://research.ebsco.com/plink/e6318103-abf3-3499-8407-89dbb378c903,MIS Quarterly
Computers & Applied Sciences Complete,iih,181215316,"INTERLEAVED DESIGN FOR E-LEARNING: THEORY, DESIGN, AND EMPIRICAL FINDINGS.","The rapid development of e-learning has drawn increasing attention to the issue of how learners’ learning activities can be better structured using technologies. This study focuses on how to improve e-learning performance by optimizing the structuring of learning sessions from the perspective of interleaving (i.e., mixing different topics in a learning session). Following the design science paradigm, this study chooses cognitive load theory as the kernel theory and proposes a new interleaving design—related-interleaving —that populates an interleaved session with related topics as a way of reducing cognitive load during an interleaved session. Drawing on the theoretical predictions, we design and instantiate a personalized learning system with the related-interleaving strategy by fusing educational strategies and machine learning techniques. The results from a two-month field experiment confirm that related-interleaving outperforms non-interleaving and unrelated-interleaving. Our findings also reveal that compared with unrelated-interleaving, related-interleaving benefits weak learners more and thus helps reduce learning performance disparities. This study demonstrates how personalized e-learning systems can be further improved from the perspective of interleaving.",20241201,"Li, Andy Tao ; Liu, De ; Xu, Sean Xin ; Yi, Cheng",Article,Academic Journal,Dec2024,True,MIS Quarterly,Digital learning ; Instructional systems ; Teaching methods ; Teaching aids ; Cognitive load ; Individualized instruction,JOUR,,,0276-7783,,,,,eng,MIS Quarterly,1394,1363,32.0,48.0,4,10.25300/misq/2023/17206,,MIS,,https://research.ebsco.com/plink/31b2dafb-3884-352a-9bf9-879be1226009,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/31b2dafb-3884-352a-9bf9-879be1226009|https://research.ebsco.com/plink/4d6d60a9-4cd2-3118-9bb2-6047d3eef0d3|https://research.ebsco.com/plink/1cd52446-0cb2-3e84-94f5-5e2961aacbb7|https://research.ebsco.com/plink/495947f3-a81f-305f-b437-4cb4b94e6127|https://research.ebsco.com/plink/6e9d3e12-75ff-3424-a379-db0bb6ef1d5b|https://research.ebsco.com/plink/dc36e840-c8f3-3ea8-a6ce-c9a468b8ae4e,MIS Quarterly
Business Source Complete,bth,190240837,Post-Earnings-Announcement Drift Prediction: Leveraging Postevent Investor Responses with Multitask Learning.,"Post-earnings-announcement drift (PEAD) remains one of the most persistent market anomalies, yet traditional models struggle to predict it effectively. Prior research has relied on single-task learning (STL), which treats PEAD prediction as an isolated task, overlooking key postevent investor responses—such as analyst forecast revisions and institutional trading—that drive stock price movements. However, incorporating these signals directly as model inputs introduces look-ahead bias, making real-world predictions impractical. Our study proposes a multitask learning (MTL) framework that circumvents this issue by treating postevent investor responses as auxiliary tasks rather than direct inputs. This enables the model to learn from these critical signals without ""cheating."" Additionally, we introduce GradPerp, a novel adaptive task weighting method that prioritizes diverse, meaningful training signals, further improving predictive performance. A key insight from our research is that leveraging MTL in real-world contexts requires deep domain knowledge and novel designs. More importantly, our MTL framework opens new opportunities for practitioners to enhance deep learning models by incorporating their financial expertise through carefully chosen auxiliary tasks. Unlike traditional AI models that rely solely on automated feature selection, our approach provides a structured way for investment professionals to embed domain-driven signals into predictive modeling, unlocking new potential in quantitative finance. Post-earnings-announcement drift (PEAD) refers to the phenomenon in which a company's stock price tends to drift persistently in response to the information released during the earnings announcement event. Predicting PEAD is of great interest to both investors and researchers because the magnitude of PEAD is economically significant. Whereas decades of studies have explored various approaches to forecasting PEAD, prior research has largely overlooked postevent investor responses—a critical intermediary in the PEAD mechanism—because of the limitations of single-task learning (STL). This study addresses this gap by introducing a multitask learning (MTL) framework that explicitly incorporates investor responses as auxiliary tasks while mitigating look-ahead bias. To further enhance model performance, we propose GradPerp, an adaptive task weighting method that assigns greater weight to auxiliary tasks that contribute diverse and informative training signals. Our model employs a multilevel, multiquery transformer architecture to facilitate cross-task learning, effectively integrating structured financial features with lengthy earnings call transcripts. Evaluation of the model from 2010 to 2022 demonstrates that the proposed design innovations not only outperform benchmark models in terms of prediction accuracy but also generate a daily risk-adjusted return (alpha) two to three times larger than the traditional earnings surprise–based models. This study contributes to the stream of information systems (IS) literature at the intersection of artificial intelligence (AI), finance, and design science research. Our work provides valuable decision support modules and managerial implications for investment and other financial decision makers.",20251201,"Zhu, Yu ; Liu, Xiao ; Sheng, Olivia R. Liu",Article,Academic Journal,Dec2025,True,Information Systems Research (INFORMS),Earnings announcements ; Quantitative research ; Market sentiment ; Machine learning ; Statistical bias ; Prediction models,JOUR,,,1047-7047,,,,,eng,INFORMS: Institute for Operations Research & the Management Sciences,2212,2191,22.0,36.0,4,10.1287/isre.2022.0358,,1LD,,https://research.ebsco.com/plink/0adc4ca0-06b1-39a3-bd1c-94ccaed5e3cc,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/0adc4ca0-06b1-39a3-bd1c-94ccaed5e3cc|https://research.ebsco.com/plink/fe4374c7-db40-30af-8bfe-4deeadf09724|https://research.ebsco.com/plink/356db48e-8cca-3760-b89d-df93bc7870c3,Information Systems Research
Business Source Complete,bth,188497591,An Explainable Artificial Intelligence Approach Using Graph Learning to Predict Intensive Care Unit Length of Stay.,"We propose and test a novel graph learning-based explainable artificial intelligence (XAI) approach to address the challenge of developing explainable predictions of patient length of stay (LoS) in intensive care units (ICUs). Specifically, we address a notable gap in the literature on XAI methods that identify interactions between model input features to predict patient health outcomes. Our model intrinsically constructs a patient-level graph, which identifies the importance of feature interactions for prediction of health outcomes. It demonstrates state-of-the-art explanation capabilities based on identification of salient feature interactions compared with traditional XAI methods for prediction of LoS. We supplement our XAI approach with a small-scale user study, which demonstrates that our model can lead to greater user acceptance of artificial intelligence (AI) model-based decisions by contributing to greater interpret ability of model predictions. Our model lays the foundation to develop interpretable, predictive tools that healthcare professionals can utilize to improve ICU resource allocation decisions and enhance the clinical relevance of AI systems in providing effective patient care. Although our primary research setting is the ICU, our graph learning model can be generalized to other healthcare contexts to accurately identify key feature interactions for prediction of other health outcomes, such as mortality, readmission risk, and hospitalizations. Intensive care units (IC Us) are critical for treating severe health conditions but represent significant hospital expenditures. Accurate prediction of ICU length of stay (Los) can enhance hospital resource management, reduce readmissions, and improve patient care. In recent years, widespread adoption of electronic health records and advancements in artificial intelligence (AI) have facilitated accurate predictions of ICU LoS. However, there is a notable gap in the literature on explainable artificial intelligence (XAI) methods that identify interactions between model input features to predict patient health outcomes. This gap is especially noteworthy as the medical literature suggests that complex interactions between clinical features are likely to significantly impact patient health outcomes. We propose a novel graph learning-based approach that offers state-of-the-art prediction and greater interpretability for ICU LoS prediction. Specifically, our graph-based XAI model can generate interaction-based explanations supported by evidence-based medicine, which provide rich patient-level insights compared with existing XAI methods. We test the statistical significance of our XAI approach using a distance-based separation index and utilize perturbation analyses to examine the sensitivity of our model explanations to changes in input features. Finally, we validate the explanations of our graph learning model using the conceptual evaluation property (Co-12) framework and a small-scale user study of ICU clinicians. Our approach offers interpretable predictions of ICU LoS grounded in design science research, which can facilitate greater integration of AI-enabled decision support systems in clinical workflows, thereby enabling clinicians to derive greater value.",20250901,"Guo, Tianjian ; Bardhan, Indranil R. ; Ding, Ying ; Zhang, Shichang",Article,Academic Journal,Sep2025,True,Information Systems Research (INFORMS),Artificial intelligence ; Resource allocation ; Intensive care units ; Length of stay in hospitals ; Health outcome assessment ; Graph neural networks ; Clinical decision support systems,JOUR,,,1047-7047,,,,,eng,INFORMS: Institute for Operations Research & the Management Sciences,1501,1478,24.0,36.0,3,10.1287/isre.2023.0029,,1LD,,https://research.ebsco.com/plink/e1495ccc-4950-3b05-908f-8c0ab3d172a5,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/e1495ccc-4950-3b05-908f-8c0ab3d172a5|https://research.ebsco.com/plink/a3e845a5-2f99-3252-ae71-39283a314276|https://research.ebsco.com/plink/b06b3ae2-4bc4-30af-b67e-eb036eb8c844,Information Systems Research
Computers & Applied Sciences Complete,iih,171381992,ROLEX: A NOVEL METHOD FOR INTERPRETABLE MACHINE LEARNING USING ROBUST LOCAL EXPLANATIONS.,"Recent developments in big data technologies are revolutionizing the field of healthcare predictive analytics (HPA), enabling researchers to explore challenging problems using complex prediction models. Nevertheless, healthcare practitioners are reluctant to adopt those models as they are less transparent and accountable due to their black-box structure. We believe that instance-level, or local, explanations enhance patient safety and foster trust by enabling patient-level interpretations and medical knowledge discovery. Therefore, we propose the RObust Local EXplanations (ROLEX) method to develop robust, instance-level explanations for HPA models in this study. ROLEX adapts state-of-the-art methods and ameliorates their shortcomings in explaining individual-level predictions made by black-box machine learning models. Our analysis with a large real-world dataset related to a prevalent medical condition called fragility fracture and two publicly available healthcare datasets reveals that ROLEX outperforms widely accepted benchmark methods in terms of local faithfulness of explanations. In addition, ROLEX is more robust since it does not rely on extensive hyperparameter tuning or heuristic algorithms. Explanations generated by ROLEX, along with the prototype user interface presented in this study, have the potential to promote personalized care and precision medicine by providing patient-level interpretations and novel insights. We discuss the theoretical implications of our study in healthcare, big data, and design science.",20230901,"Kim, Buomsoo (Raymond) ; Srinivasan, Karthik ; Kong, Sung Hye ; Kim, Jung Hee ; Shin, Chan Soo ; Ram, Sudha",Article,Academic Journal,Sep2023,True,MIS Quarterly,Machine learning ; Explanation ; Prediction models ; Health information systems ; Medical care ; Big data,JOUR,,,0276-7783,,,,,eng,MIS Quarterly,1332,1303,30.0,47.0,3,10.25300/MISQ/2022/17141,,MIS,,https://research.ebsco.com/plink/a94ee8a5-a393-3bc9-8e8f-126db74382c8,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/a94ee8a5-a393-3bc9-8e8f-126db74382c8|https://research.ebsco.com/plink/71d253b8-18f2-3382-a94e-f023fac08533|https://research.ebsco.com/plink/e119720f-fc14-3872-bff9-7d4dff47f4f2|https://research.ebsco.com/plink/c12d7b46-1ce2-36d8-a7c4-70cf550850b8|https://research.ebsco.com/plink/5083a80c-dd83-3880-a378-862230da6072|https://research.ebsco.com/plink/b5a88983-e541-3bdc-a650-8cc093dde912,MIS Quarterly
Business Source Complete,bth,180116924,Ontology-Based Intelligent Interface Personalization for Protection Against Phishing Attacks.,"Millions of users on the Internet have fallen into phishing website traps. Detection tools are designed to warn users against such attacks, but often fail to achieve this purpose. One crucial reason behind this is that users rarely have a chance to interact and build a relationship with a detection tool that stealthily runs at the backend. A warning message on a rarely seen interface from such a tool hardly inspires users' trust in its authenticity and accuracy. In this study, we propose an ontology-based intelligent interface personalization (OBIIP) design for the warning interfaces of phishing website detection tools. We first constructed an ontology of warning interface elements (OWIE), which is a comprehensive knowledgebase for warning interface design. We then used OWIE in the design and creation of an OBIIP prototype and assessed it in a laboratory experiment and an online experiment. The results show the significant value of OBIIP in improving users' performance in terms of self-protection against website phishing attacks and building a stronger relationship with the detection tool in terms of trust in and use of the tool. Millions of users on the Internet have fallen into phishing website traps. Detection tools are designed to warn users against such attacks but often fail to achieve this purpose due to usability issues. To address these issues and increase user self-protection against such attacks, we propose an ontology-based intelligent interface personalization (OBIIP) design for the warning interfaces of phishing website detection tools. Our design involves two phases: proof-of-concept and proof-of-value. The proof-of-concept phase consists of developing an ontology of warning interface elements (OWIE) based on the ontology approach in design science, expert feedback, and inputs from multiple populations through three rounds of surveys with 1,297 participants. OWIE is then used in the design and creation of an OBIIP prototype. The proof-of-value phase involves a controlled laboratory experiment (with 596 participants) to assess OBIIP's value in terms of users' self-protection performance as well as a posthoc online data collection (with 191 participants) and analysis to reveal the role of the design element categories in users' trust and perceived personalization in OBIIP. The assessment results show the significant value of OBIIP in improving self-protection performance as well as the pervasive impact of OBIIP in improving users' relationship with the security tool in terms of trust in and use of the tool. This work also identifies categories of design elements that matter in the OBIIP process. History: Suprateek Sarker, Senior Editor; David (Jingjun) Xu, Associate Editor. Funding: This work was partially supported by the U.S. National Science Foundation [Grant CNS-1049497]. Supplemental Material: The online appendices are available at https://doi.org/10.1287/isre.2021.0065.",20240901,"Zahedi, Fatemeh Mariam ; Chen, Yan ; Zhao, Huimin",Article,Academic Journal,Sep2024,True,Information Systems Research (INFORMS),Design science ; Phishing ; Proof of concept ; Trust ; Scientific experimentation,JOUR,,,1047-7047,,,,,eng,INFORMS: Institute for Operations Research & the Management Sciences,1478,1463,16.0,35.0,3,10.1287/isre.2021.0065,,1LD,,https://research.ebsco.com/plink/bade4ce9-a281-3f70-ab8e-b0285f32ede7,,,,,85b03fda-b27e-48e8-8a4c-c83e69fd20c1.csv,https://research.ebsco.com/plink/bade4ce9-a281-3f70-ab8e-b0285f32ede7|https://research.ebsco.com/plink/3e3be968-9b99-3730-8a8e-58633c917f67|https://research.ebsco.com/plink/f8f0e879-7eff-3f35-ae4f-096753426645|https://research.ebsco.com/plink/776e6f75-2ba9-3a24-9e56-bc0acf38e56e,Information Systems Research
